time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
1,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160634,-1.6063594898696465e-11
1,0.019,301.15000325155245,301.15000309625594,1.552965045448218e-07,2.5499999993248932,2.5500000000004364,-6.7554317695339705e-10
1,0.02,301.15017882812458,301.15018664180531,-7.813680724666483e-06,2.5319951839526236,2.5177690086910123,0.014226175261611296
2,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160163,-1.6016521442452358e-11
2,0.019,301.15003545881507,301.15003565266181,-1.9384674487810116e-07,2.5499999649964709,2.5500000000004066,-3.5003935749955417e-08
2,0.02,301.1505143570846,301.15052529402067,-1.0936936064354086e-05,2.5176109984242125,2.504578197481381,0.013032800942831546
5,0,301.14999999999998,301.15000000027294,-2.7296209736960009e-10,2.5499999999999998,2.5500000000159933,-1.5993428803540155e-11
5,0.019,301.15041885923478,301.15042177731704,-2.9180822593843914e-06,2.549995260217,2.5499998711803262,-4.6109633262680916e-06
5,0.02,301.1520395896398,301.15205628400628,-1.6694366479441669e-05,2.4871152247794743,2.4786784615695088,0.0084367632099655587
10,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160008,-1.6000978320107606e-11
10,0.019,301.15195608256698,301.15196360967667,-7.527109687543998e-06,2.5498761125345619,2.5499482573839969,-7.2144849434963021e-05
10,0.02,301.15573074732094,301.15575331871912,-2.2571398176296498e-05,2.455072461876493,2.4499179098862758,0.0051545519902171932
20,0,301.14999999999998,301.15000000027294,-2.7296209736960009e-10,2.5499999999999998,2.5500000000160066,-1.6006751479835657e-11
20,0.019,301.15768326062988,301.15769784531199,-1.4584682105578395e-05,2.5482491453528797,2.5484475586582827,-0.00019841330540293356
20,0.02,301.16599899042188,301.16602888493026,-2.9894508372763084e-05,2.4132269157270607,2.4100017192345522,0.0032251964925085197
30,0,301.15000000000271,301.15000000027504,-2.723368197621312e-10,2.5499999999999998,2.5500000000160168,-1.6016965531662208e-11
30,0.019,301.16616865494331,301.16618843771323,-1.9782769925313914e-05,2.5441042092398134,2.5442047852414489,-0.00010057600163548841
30,0.02,301.17907810226052,301.17911289940042,-3.4797139903730567e-05,2.3824417615529705,2.3799610242629341,0.0024807372900363944
60,0,301.15000027895996,301.15000026902231,9.9376507023407612e-09,2.5499999999999998,2.5500000000160323,-1.6032508654006961e-11
60,0.019,301.20378861774486,301.20381857706337,-2.9959318510464072e-05,2.5220138986588387,2.5216989888015195,0.00031490985731918997
60,0.02,301.23025391072946,301.23029650375128,-4.2593021817083354e-05,2.3155378702061431,2.3139696780286645,0.0015681921774786112
